x,y,h
114.1454018,30.61113753,1
114.147486,30.61652742,11
114.147486,30.62012068,2
114.147486,30.62371394,3
114.1495702,30.57161165,2
114.1495702,30.57340828,3
114.1495702,30.57520491,22
114.1495702,30.57700154,3
114.1495702,30.57879818,2
114.1495702,30.61652742,4
114.1495702,30.62012068,1
114.1495702,30.62191731,2
114.1516544,30.55903524,1
114.1516544,30.56442513,3
114.1516544,30.57340828,4
114.1516544,30.57520491,21
114.1516544,30.57700154,2
114.1516544,30.57879818,113
114.1516544,30.58059481,1
114.1516544,30.61652742,4
114.1516544,30.62191731,2
114.1537385,30.55903524,6
114.1537385,30.56083187,14
114.1537385,30.57520491,38
114.1537385,30.57700154,1
114.1537385,30.57879818,5
114.1537385,30.60574763,2
114.1537385,30.61473079,21
114.1537385,30.61652742,4
114.1537385,30.61832405,2
114.1537385,30.62012068,5
114.1537385,30.62191731,1
114.1537385,30.62371394,2
114.1558227,30.54645883,14
114.1558227,30.57340828,2
114.1558227,30.57520491,2
114.1558227,30.57700154,4
114.1558227,30.57879818,4
114.1558227,30.60215437,3
114.1558227,30.603951,81
114.1558227,30.60574763,4
114.1558227,30.60754426,1
114.1558227,30.61293416,1
114.1558227,30.61652742,5
114.1579069,30.5392723,2
114.1579069,30.54466219,6
114.1579069,30.54645883,2
114.1579069,30.55544198,4
114.1579069,30.55723861,6
114.1579069,30.56981502,8
114.1579069,30.57879818,1
114.1579069,30.59856111,4
114.1579069,30.60215437,1
114.1579069,30.603951,2
114.1579069,30.60574763,4
114.1579069,30.61473079,2
114.1579069,30.61652742,11
114.1579069,30.62012068,2
114.159991,30.54466219,8
114.159991,30.54825546,1
114.159991,30.55364535,8
114.159991,30.55903524,13
114.159991,30.56083187,7
114.159991,30.5626285,2
114.159991,30.56801839,8
114.159991,30.57520491,12
114.159991,30.57879818,2
114.159991,30.59856111,8
114.159991,30.603951,9
114.159991,30.60754426,11
114.159991,30.61113753,7
114.159991,30.61293416,12
114.159991,30.61473079,5
114.159991,30.61652742,2
114.1620752,30.53208578,1
114.1620752,30.54466219,8
114.1620752,30.55005209,4
114.1620752,30.55184872,21
114.1620752,30.55364535,33
114.1620752,30.55723861,3
114.1620752,30.55903524,5
114.1620752,30.56622176,4
114.1620752,30.56801839,5
114.1620752,30.56981502,7
114.1620752,30.57700154,2
114.1620752,30.58957796,1
114.1620752,30.60215437,7
114.1620752,30.60934089,2
114.1620752,30.61293416,136
114.1620752,30.61473079,239
114.1641594,30.54106893,6
114.1641594,30.54286556,2
114.1641594,30.54645883,2
114.1641594,30.54825546,5
114.1641594,30.55005209,18
114.1641594,30.55903524,1
114.1641594,30.5626285,43
114.1641594,30.56622176,16
114.1641594,30.57700154,3
114.1641594,30.5859847,7
114.1641594,30.58957796,18
114.1641594,30.59137459,2
114.1641594,30.59317122,1
114.1641594,30.59496785,2
114.1641594,30.59676448,8
114.1641594,30.60035774,2
114.1641594,30.60215437,11
114.1641594,30.60754426,4
114.1641594,30.61293416,22
114.1641594,30.61473079,21
114.1641594,30.61652742,5
114.1662435,30.52849252,1
114.1662435,30.53747567,3
114.1662435,30.54106893,12
114.1662435,30.54286556,1
114.1662435,30.54466219,18
114.1662435,30.54645883,1
114.1662435,30.54825546,1
114.1662435,30.55723861,7
114.1662435,30.55903524,8
114.1662435,30.56083187,15
114.1662435,30.56442513,1
114.1662435,30.56622176,17
114.1662435,30.57161165,6
114.1662435,30.57700154,5
114.1662435,30.58059481,1
114.1662435,30.58239144,58
114.1662435,30.58418807,1
114.1662435,30.58957796,4
114.1662435,30.59317122,7
114.1662435,30.59496785,4
114.1662435,30.59676448,4
114.1662435,30.59856111,59
114.1662435,30.60215437,2
114.1662435,30.603951,2
114.1662435,30.60574763,9
114.1662435,30.60754426,2
114.1662435,30.60934089,2
114.1662435,30.61113753,61
114.1662435,30.61293416,1
114.1662435,30.61473079,1
114.1683277,30.53567904,2
114.1683277,30.5392723,23
114.1683277,30.54106893,19
114.1683277,30.54286556,18
114.1683277,30.54466219,6
114.1683277,30.54645883,4
114.1683277,30.54825546,9
114.1683277,30.55005209,48
114.1683277,30.55184872,8
114.1683277,30.55364535,12
114.1683277,30.55723861,2
114.1683277,30.55903524,2
114.1683277,30.5626285,5
114.1683277,30.56442513,8
114.1683277,30.56622176,11
114.1683277,30.57700154,11
114.1683277,30.58418807,4
114.1683277,30.58778133,2
114.1683277,30.59317122,6
114.1683277,30.59856111,3
114.1683277,30.60035774,4
114.1683277,30.60934089,6
114.1683277,30.61113753,311
114.1683277,30.61293416,3
114.1683277,30.61473079,4
114.1683277,30.62551057,1
114.1704119,30.53208578,32
114.1704119,30.53567904,17
114.1704119,30.54286556,2
114.1704119,30.54645883,4
114.1704119,30.54825546,12
114.1704119,30.55903524,42
114.1704119,30.56083187,37
114.1704119,30.5626285,8
114.1704119,30.56622176,5
114.1704119,30.57340828,4
114.1704119,30.57520491,5
114.1704119,30.57879818,3
114.1704119,30.58059481,51
114.1704119,30.58239144,3
114.1704119,30.58418807,4
114.1704119,30.58778133,18
114.1704119,30.59496785,2
114.1704119,30.59856111,2
114.1704119,30.60035774,8
114.1704119,30.60934089,4
114.1704119,30.61473079,6
114.1704119,30.62371394,2
114.1704119,30.62910383,2
114.1724961,30.53028915,4
114.1724961,30.53208578,1
114.1724961,30.5392723,38
114.1724961,30.54106893,8
114.1724961,30.55364535,7
114.1724961,30.56083187,2
114.1724961,30.56442513,14
114.1724961,30.56622176,2
114.1724961,30.57520491,9
114.1724961,30.57879818,5
114.1724961,30.58059481,3
114.1724961,30.58239144,2
114.1724961,30.58957796,6
114.1724961,30.59137459,4
114.1724961,30.59496785,61
114.1724961,30.60934089,1
114.1724961,30.61113753,6
114.1724961,30.61473079,4
114.1724961,30.62191731,139
114.1724961,30.62371394,3
114.1745802,30.53028915,9
114.1745802,30.53208578,226
114.1745802,30.5392723,77
114.1745802,30.54286556,2
114.1745802,30.54466219,4
114.1745802,30.55723861,2
114.1745802,30.56083187,4
114.1745802,30.56442513,9
114.1745802,30.56981502,2
114.1745802,30.57161165,4
114.1745802,30.57520491,4
114.1745802,30.57879818,3
114.1745802,30.58418807,8
114.1745802,30.59317122,1
114.1745802,30.59496785,4
114.1745802,30.59676448,7
114.1745802,30.60215437,2
114.1745802,30.603951,2
114.1745802,30.61293416,6
114.1745802,30.61473079,5
114.1766644,30.53028915,24
114.1766644,30.53208578,317
114.1766644,30.53388241,118
114.1766644,30.53567904,14
114.1766644,30.53747567,4
114.1766644,30.5392723,17
114.1766644,30.56622176,12
114.1766644,30.56981502,2
114.1766644,30.57520491,4
114.1766644,30.57879818,6
114.1766644,30.58059481,33
114.1766644,30.58239144,75
114.1766644,30.58418807,139
114.1766644,30.5859847,22
114.1766644,30.59317122,15
114.1766644,30.59496785,31
114.1766644,30.59676448,15
114.1766644,30.59856111,2
114.1766644,30.60035774,68
114.1766644,30.61113753,2
114.1766644,30.61293416,8
114.1766644,30.61473079,36
114.1766644,30.61652742,1
114.1766644,30.61832405,9
114.1766644,30.62012068,127
114.1766644,30.6273072,2
114.1787486,30.52669589,1
114.1787486,30.53028915,2
114.1787486,30.53208578,8
